"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000034435",1871.87156140628,3.62176103456807,0.158153840303213,22.9002408517202,4.62057249643467e-116,6.08442762046138e-114
"ENSMUSG00000041852",2574.34693147589,-2.02628426735279,0.0884902301789101,-22.8983952607653,4.82042298317483e-116,6.30816719456587e-114
"ENSMUSG00000071226",442.220761573503,-4.06017605905561,0.177361536751621,-22.8920888565683,5.57071123268992e-116,7.24501944207061e-114
"ENSMUSG00000057421",4186.66881411637,-2.14235280411497,0.0937598317426389,-22.8493669868725,1.48272082890715e-115,1.91653037694753e-113
"ENSMUSG00000029361",477.111079724376,-5.56582692824554,0.243635930773716,-22.8448526067978,1.64413790358583e-115,2.11221594455182e-113
"ENSMUSG00000021190",13197.0068314726,2.69194792502107,0.118058521821907,22.8018095049667,4.39946037979425e-115,5.61771095405364e-113
"ENSMUSG00000028988",929.986725652799,-3.05502820868997,0.134336542066402,-22.741602260239,1.73768248290865e-114,2.2054959176146e-112
"ENSMUSG00000029603",759.108234497288,-4.60472557348357,0.203057820249028,-22.6769181695951,7.57094264790863e-114,9.55162818256209e-112
"ENSMUSG00000069763",415.846495694188,-4.88955372879285,0.215932087339214,-22.6439423109531,1.60068112162651e-113,2.00742562806838e-111
"ENSMUSG00000023333",535.721838161377,-4.97632973149628,0.22012391566173,-22.6069471667201,3.70280121032485e-113,4.61623187575942e-111
"ENSMUSG00000005672",2459.02671991457,-4.14784144659286,0.183698304050403,-22.579639306059,6.8707144879331e-113,8.51524020860368e-111
"ENSMUSG00000050010",729.737869780384,-6.67874317272844,0.296757249626015,-22.5057456259122,3.64629172958536e-112,4.49261523103122e-110
"ENSMUSG00000046079",982.019145112459,-2.02367034173983,0.0900902634594055,-22.4626975661103,9.61688004309999e-112,1.17801189318647e-109
"ENSMUSG00000022018",495.877640056545,-6.49849445959351,0.289422806655175,-22.4532908608545,1.18839985726041e-111,1.44730616142309e-109
"ENSMUSG00000058153",602.804500969868,-7.24936988149346,0.323034899130068,-22.4414448748912,1.55122446699451e-111,1.8783188675349e-109
"ENSMUSG00000026827",1595.61633800699,-2.9997695191751,0.133682184255161,-22.4395609324381,1.6183463179077e-111,1.94839648982842e-109
"ENSMUSG00000061119",1099.84553336995,-2.57147791205948,0.114698426036516,-22.4194699170573,2.54194310324195e-111,3.04296586603436e-109
"ENSMUSG00000038034",827.117236461455,-3.39213539842739,0.151311583400211,-22.4182136106221,2.61470045497215e-111,3.11237988055413e-109
"ENSMUSG00000046179",1107.54345287965,-2.89363459591706,0.129089575148549,-22.4157108936738,2.76589440780294e-111,3.27385557741574e-109
"ENSMUSG00000028583",828.981090250753,2.58021372616863,0.115178993089746,22.4017735956257,3.78218120751158e-111,4.4270431033923e-109
"ENSMUSG00000096951",828.981090250753,2.58021372616863,0.115178993089746,22.4017735956257,3.78218120751158e-111,4.4270431033923e-109
"ENSMUSG00000090486",550.518423174445,3.89197888715383,0.174554899193576,22.296589240029,3.98759300385808e-110,4.64169044189425e-108
"ENSMUSG00000034684",2435.16229061626,-3.27375348744172,0.146879516894347,-22.2886999948167,4.7560258589719e-110,5.50575323201533e-108
"ENSMUSG00000024924",2318.53969077732,-4.3973218771793,0.197297857698008,-22.2877325100509,4.85990631265976e-110,5.59526590718188e-108
"ENSMUSG00000078185",1126.40992081427,4.12964073081,0.185395545225347,22.2747570649039,6.49289339937956e-110,7.43471581693087e-108
"ENSMUSG00000055817",1742.25357237554,-2.4134018086373,0.10891703386452,-22.1581668450435,8.7021683096338e-109,9.91059373598241e-107
"ENSMUSG00000055737",3420.19948377444,2.77166560637354,0.125192834763547,22.1391712361847,1.32653299252965e-108,1.50261954944125e-106
"ENSMUSG00000052727",2941.47448979382,-3.52153107891294,0.159245561310008,-22.1138413525854,2.32604811879431e-108,2.62072234304157e-106
"ENSMUSG00000015396",471.604368646641,-4.93232670638662,0.2230508888207,-22.1130107683699,2.36925417607769e-108,2.65520299126494e-106
"ENSMUSG00000035491",1155.59166517571,-9.47465994052025,0.430917805554629,-21.9871627915805,3.82146200360751e-107,4.26002026211675e-105
"ENSMUSG00000026643",1285.51307195457,-2.16822441665473,0.0986626288829999,-21.9761468065679,4.87091470554722e-107,5.40133168058813e-105
"ENSMUSG00000032359",2479.4206831535,3.09589158492461,0.140960189597524,21.9628789785552,6.5232381776536e-107,7.19571231230281e-105
"ENSMUSG00000027820",2827.02703478582,-4.76576954925619,0.217014094681713,-21.960645257839,6.85191818967014e-107,7.51890960094584e-105
"ENSMUSG00000046856",425.299778757516,-4.07610793600962,0.185651708977265,-21.9556715015685,7.64436480314103e-107,8.34503222991598e-105
"ENSMUSG00000042357",553.603822301039,-5.37714569090928,0.245133195202819,-21.9356080536556,1.18838986129165e-106,1.29062814368833e-104
"ENSMUSG00000033788",2351.43672777361,-3.69576500067302,0.16855743061468,-21.9258503597002,1.47260917769058e-106,1.59109757768014e-104
"ENSMUSG00000038368",413.572647871355,-3.02028047177772,0.13784759501928,-21.9102877446305,2.07268601962753e-106,2.22803172181288e-104
"ENSMUSG00000041890",2757.95657608817,-2.28596080646785,0.104352365118502,-21.906171497617,2.26871174211523e-106,2.42636993373735e-104
"ENSMUSG00000031871",8403.6947657,-3.21000840036117,0.146788276938622,-21.868288580725,5.20743776959576e-106,5.54118719028349e-104
"ENSMUSG00000028111",3063.76022722083,-4.30438108750585,0.196997668666563,-21.8499087661358,7.78883636169254e-106,8.24638157309045e-104
"ENSMUSG00000009145",465.32746110657,3.70170343433993,0.169661851409101,21.8181247204129,1.561316592304e-105,1.64476896416265e-103
"ENSMUSG00000020334",267.045042552559,-5.67720487770993,0.260675201905886,-21.7788452303937,3.68237247668702e-105,3.85989580653327e-103
"ENSMUSG00000005686",902.438515772036,-3.84843988451469,0.176722620604211,-21.7767248547863,3.85677476549298e-105,4.02269245218671e-103
"ENSMUSG00000030256",1584.57679166238,-3.9512056257812,0.181585896517443,-21.7594301185261,5.62429508315139e-105,5.83735335502053e-103
"ENSMUSG00000048905",308.155642770254,2.93920568765659,0.135159235718763,21.7462437696263,7.49727614231824e-105,7.74314269816191e-103
"ENSMUSG00000027875",600.507915456716,3.47705562080164,0.159895566456607,21.7457913177677,7.57156299744546e-105,7.78172003869163e-103
